Ids,                   Text,,,,,,,,,,,,Result
26,I hate when I have to call and wake people up ,,,,,,,,,,,,Positive
86,"had a blast at the Getty Villa, but hates that she's had a sore throat all day. It's just getting worse too ",,,,,,,,,,,,bully
2,is upset that he can't update his Facebook by texting it... and might cry as a result  School today also. Blah!,,,,,,,,,,,,Assult
55,I need a hug ,,,,,,,,,,,,crime
75,Why won't you show my location?!   http://twitpic.com/2y2es,,,,,,,,,,,,Positive
92,wednesday my b-day! don't know what 2 do!! ,,,,,,,,,,,,bully
16,@iamjazzyfizzle I wish I got to watch it with you!! I miss you and @iamlilnicki  how was the premiere?!,,,,,,,,,,,,assult
73,i really hate how people diss my bands!  Trace is clearly NOT ugly!,,,,,,,,,,,,crime
54,"Put vacation photos online a few yrs ago. PC crashed, and now I forget the name of the site. ",,,,,,,,,,,,positive
94,"pray for me please, the ex is threatening to start sh** at my/our babies 1st Birthday party. what a jerk. and I still have a headache ",,,,,,,,,,,,bully
53,our duck and chicken are taking wayyy too long to hatch ,,,,,,,,,,,,assult
91,@Hollywoodheat I should have paid more attention when we covered photoshop in my webpage design class in undergrad ,,,,,,,,,,,,crime
78,No new csi tonight.  FML,,,,,,,,,,,,positive
13,@caregiving I couldn't bear to watch it.  And I thought the UA loss was embarrassing . . . . .,,,,,,,,,,,,bully
7,Need a hug ,,,,,,,,,,,,assult
30,Meh... Almost Lover is the exception... this track gets me depressed every time. ,,,,,,,,,,,,crime
22,"one of my friend called me, and asked to meet with her at Mid Valley today...but i've no time *sigh* ",,,,,,,,,,,,crime
24,this week is not going as i had hoped ,,,,,,,,,,,,crime
33,thought sleeping in was an option tomorrow but realizing that it now is not. evaluations in the morning and work in the afternoon! ,,,,,,,,,,,,crime
8,"@LOLTrish hey  long time no see! Yes.. Rains a bit ,only a bit  LOL , I'm fine thanks , how's you ?",,,,,,,,,,,,crime
9,Behind on my classes for work ,,,,,,,,,,,,crime
10,watching &quot;House&quot; ,,,,,,,,,,,,assult
11,@kpreyes Remember my bum leg? Strikes back this time its serious ,,,,,,,,,,,,assult
12,"@paradisej cool, i will. their are all kinds of complaints about this laptop online about overheating, but no recalls ",,,,,,,,,,,,assult
13,Emily will be glad when Mommy is done training at her new job. She misses her.  http://apps.facebook.com/dogbook/profile/view/6176014,,,,,,,,,,,,assult
14,would rather the first party send bad messages than the 3rd party send mixed ones  Sophmore year all over again?,,,,,,,,,,,,assult
15,@Henkuyinepu it's overrated ,,,,,,,,,,,,assult
16,@marykatherine_q i know! I heard it this afternoon and wondered the same thing. Moscow is so behind the times ,,,,,,,,,,,,assult
17,laying in bed with no voice.. ,,,,,,,,,,,,assult
18,I'm sooo sad!!! they killed off Kutner on House  whyyyyyyyy,,,,,,,,,,,,assult
19,@jacobsummers Sorry  tell them mea culpa from me and that I really am sorry.,,,,,,,,,,,,assult
20,"@Alliana07 it didn't make any sense to me, the suicide thing. I refuse to believe that that is actually what happened. ",,,,,,,,,,,,aa
21,@salancaster  hope your ok.,,,,,,,,,,,,bully
22,@mercedesashley Damn! The grind is inspirational and saddening at the same time.  Don't want you to stop cuz I like what u do! Much love,,,,,,,,,,,,bully
23,@HibaNick yeah aw but i know i wudnt stand a chance ,,,,,,,,,,,,bully
24,ugh. cant sleep. its 1:30am. ,,,,,,,,,,,,bully
